2024-11-17 14:46:29 DEBUG TestNG:82 - suiteXmlPath: "E:\eclipse\Opencart1.0\master.xml"
2024-11-17 14:46:32 DEBUG PackageRelationshipCollection:307 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-11-17 14:46:32 DEBUG PackageRelationshipCollection:307 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-11-17 14:46:32 DEBUG PackageRelationshipCollection:307 - Parsing relationship: /_rels/.rels
2024-11-17 14:46:35 DEBUG PackageRelationshipCollection:307 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-11-17 14:46:35 DEBUG PackageRelationshipCollection:307 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-11-17 14:46:35 DEBUG PackageRelationshipCollection:307 - Parsing relationship: /_rels/.rels
2024-11-17 14:46:35 DEBUG PackageRelationshipCollection:307 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-11-17 14:46:35 DEBUG PackageRelationshipCollection:307 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-11-17 14:46:35 DEBUG PackageRelationshipCollection:307 - Parsing relationship: /_rels/.rels
2024-11-17 14:46:35 DEBUG PackageRelationshipCollection:307 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-11-17 14:46:35 DEBUG PackageRelationshipCollection:307 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-11-17 14:46:35 DEBUG PackageRelationshipCollection:307 - Parsing relationship: /_rels/.rels
2024-11-17 14:46:35 DEBUG PackageRelationshipCollection:307 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-11-17 14:46:35 DEBUG PackageRelationshipCollection:307 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-11-17 14:46:35 DEBUG PackageRelationshipCollection:307 - Parsing relationship: /_rels/.rels
2024-11-17 14:46:35 DEBUG PackageRelationshipCollection:307 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-11-17 14:46:35 DEBUG PackageRelationshipCollection:307 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-11-17 14:46:35 DEBUG PackageRelationshipCollection:307 - Parsing relationship: /_rels/.rels
2024-11-17 14:46:35 DEBUG PackageRelationshipCollection:307 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-11-17 14:46:35 DEBUG PackageRelationshipCollection:307 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
